SL,City,2020,2021,2022,Population,Crime_Rate,Charge_Rate,Total_Rape
,,,,,,,,
1,Agra,589,1093,962,8,119.7,76.7,2644
2,Allahabad,625,454,496,5.6,88.4,82.2,1575
3,Amritsar,227,292,226,5.5,40.8,79.1,745
4,Asansol,794,790,447,6,75.1,95.5,2031
5,Aurangabad,670,757,834,5.7,146.5,81.2,2261
6,Bhopal,1141,1442,2047,9,228,88.6,4630
7,Chandigarh City,301,343,325,4.6,70.3,62.2,969
8,Dhanbad,354,346,297,5.6,52.9,66.4,997
9,Durg-Bhilainagar,484,538,589,5.2,113.6,78.1,1611
10,Faridabad,1107,1303,1213,6.5,185.4,62.1,3623
11,Gwalior,1135,1241,1128,5.1,219.8,88.8,3504
12,Jabalpur,662,943,1039,6,171.9,79.1,2644
13,Jamshedpur,367,389,330,6.4,51.5,78.6,1086
14,Jodhpur,914,1070,1380,5.4,256.3,65.5,3364
15,Kannur,107,418,370,8.9,41.8,93.3,895
16,Kollam,493,635,809,5.8,139.4,97.9,1937
17,Kota,799,939,1090,4.7,231.1,61.2,2828
18,Ludhiana,418,520,626,7.4,84.7,80.1,1564
19,Madurai,228,272,283,7.3,38.8,90,783
20,Malappuram,300,401,401,8.9,45.1,91.3,1102
21,Meerut,427,634,825,6.7,123.1,74.5,1886
22,Nasik,477,405,550,7.4,74.5,76.1,1432
23,Raipur,512,466,825,5.4,151.6,97.4,1803
24,Rajkot,212,242,345,6.6,52.3,95.3,799
25,Ranchi,375,295,332,5.4,61.5,79.9,1002
26,Srinagar,294,367,446,6,74.8,74.9,1107
27,Thiruvananthapuram,395,508,591,8.7,67.8,94,1494
28,Thrissur,463,690,822,9.8,84,93.3,1975
29,Tiruchirapalli,87,104,110,5.1,21.4,93.2,301
30,Vadodara,354,238,218,8.7,25,93.1,810
31,Varanasi,646,733,534,6.7,79.2,83.1,1913
32,Vasai Virar,610,845,1154,5.7,201.9,63.5,2609
33,Vijayawada,971,1466,2366,7.4,319.5,94.5,4803
34,Vishakhapatnam,1035,1890,1329,8.6,155.4,95.2,4254
