SL,City,Murder Rape,Kidnapping cases,Women above 18 yr,girls below 18yr,procuration of girls,Human Trafficking ,Total Rape,18 yr or above women rape,Below 18 yr women rape,assault_women,18 yr or above women assult,below 18 yr women assult
1,Agra,0,149,0,0,0,0,57,57,0,202,202,0
2,Allahabad,0,57,45,11,0,0,37,37,0,64,43,21
3,Amritsar,0,76,9,63,0,0,16,16,0,30,30,0
4,Asansol,0,50,2,1,0,0,19,19,0,23,23,0
5,Aurangabad,0,158,0,0,1,0,49,49,0,240,240,0
6,Bhopal,0,400,4,5,2,0,248,248,0,361,361,0
7,Chandigarh City,0,112,0,16,0,0,78,30,48,42,32,10
8,Dhanbad,0,19,19,0,0,0,43,39,4,41,37,4
9,Durg-Bhilainagar,0,156,0,6,0,1,71,71,0,99,99,0
10,Faridabad,3,360,39,6,141,1,167,167,0,108,109,0
11,Gwalior,2,145,0,7,0,5,147,147,0,170,170,0
12,Jabalpur,1,230,4,3,0,1,121,121,0,243,243,0
13,Jamshedpur,0,83,83,0,0,0,45,45,0,27,27,0
14,Jodhpur,0,156,7,3,0,0,145,145,0,400,400,0
15,Kannur,0,1,0,0,0,0,21,21,0,92,95,0
16,Kollam,0,6,2,0,0,6,28,28,0,189,189,0
17,Kota,0,162,3,0,0,1,158,158,0,216,216,0
18,Ludhiana,0,131,11,115,0,0,51,51,0,67,67,0
19,Madurai,0,6,2,2,0,0,13,13,0,37,37,0
20,Malappuram,0,5,0,0,0,1,28,28,0,109,47,63
21,Meerut,0,220,39,0,0,0,57,57,0,74,74,0
22,Nasik,0,251,0,0,0,0,32,32,0,91,91,0
23,Raipur,0,210,0,0,0,0,58,58,0,113,113,0
24,Rajkot,0,30,16,0,0,0,29,29,0,21,21,0
25,Ranchi,1,13,5,8,0,0,96,80,16,41,41,0
26,Srinagar,0,109,46,0,0,0,12,12,0,227,227,0
27,Thiruvananthapuram,0,8,0,0,0,0,40,40,0,200,207,2
28,Thrissur,0,8,1,5,0,1,47,47,0,190,194,6
29,Tiruchirapalli,0,1,0,0,0,0,5,5,0,15,15,0
30,Vadodara,0,18,0,6,1,1,18,18,0,31,31,0
31,Varanasi,0,81,81,0,0,0,50,50,0,56,56,0
32,Vasai Virar,1,338,1,0,1,15,119,119,0,263,263,0
33,Vijayawada,0,60,0,0,18,0,51,51,0,408,415,0
34,Vishakhapatnam,0,21,0,1,0,1,69,69,0,315,315,0
